binomial,species_wfo,flag
Nothofagus pumilo,Nothofagus pumilio,1
Ougeinia oojeinensis,Desmodium oojeinense,1
Pentaphylloides floribunda,Dasiphora fruticosa,1
Phlomis oreophila,Phlomoides oreophila,1
Phyllanthus muelleranus,Phyllanthus muellerianus,1
Picea Canadensis,Tsuga canadensis,1
Piliostigma thonningii,Bauhinia thonningii,1
Pinus Banksiana,Pinus banksiana,1
Pinus Radiata,Pinus radiata,1
Pinus tabulaeformis,Pinus tabuliformis,1
Podocarpus nagi,Nageia nagi,1
Populus euramericana,Populus x canadensis,1
Prosopis Glandulosa,Prosopis glandulosa,1
Prunus amygdalus,Prunus dulcis,1
Prunus sarotina,Prunus serotina,1
Prunus yedoensis,Cerasus yedoensis,1
Psidium gurava,Psidium guajava,1
Quercus borealis,Quercus petraea,1
Quercus calliprinos,Quercus coccifera,1
Quercus gambeli,Quercus gambelii,1
Quercus prinus,Quercus michauxii,1
Quercus wislizenii,Quercus wislizeni,1
Querucs cerris,Quercus cerris,1
Reaumuria songarica,Reaumuria soongarica,1
Rhus copallina,Rhus copallinum,1
Robinia pseudacacia,Robinia pseudoacacia,1
Rosa humilis,Rosa pygmaea,1
Sabina virginiana,Juniperus virginiana,1
Salazaria mexicana,Scutellaria mexicana,1
Salix elaeagnos,Salix eleagnos,1
Salsola baryosma,Salsola imbricata,1
Salsola dschungarica,Salsola dshungarica,1
Salsola rigida,Salsola orientalis,1
Satureja gilliesii,Clinopodium chilense,1
Scholtzia involucrata,Scholtzia obovata,1
Senecio filagionoides,Senecio filaginoides,1
Sequoia giganteum,Sequoiadendron giganteum,1
Sida grewioides,Sida ovata,1
Simarouba versicolorA,Simarouba versicolor,1
Sphaeralcea parviflora,Sphaeralcea parvifolia,1
Spyridium subochreatum,Cryptandra subochreata,1
Stryphnodendron barbatimao,Stryphnodendron adstringens,1
Stryphnodendron Barbatimao,Stryphnodendron adstringens,1
Symphoricarpus albus,Symphoricarpos albus,1
Syringia vulgaris,Syringa vulgaris,1
Syzygium afromontanum,Satyrium afromontanum,1
Syzygium macrocarpum,Syzygium megacarpum,1
Talinum angustissimum,Phemeranthus aurantiacus,1
Talinurn angustissimun,Phemeranthus aurantiacus,1
Talisia oliviformis,Melicoccus oliviformis,1
Tectonia grandis,Tectona grandis,1
Thamonosma montana,Thamnosma montana,1
Thujopsis dolobrata,Thujopsis dolabrata,1
Thymus capitatus,Thymbra capitata,1
Thymus pulegioide,Thymus pulegioides,1
Tsuga diversijolia,Tsuga diversifolia,1
Ulmus montana,Ulmus glabra,1
Vaccinium gaultherioides,Vaccinium uliginosum,1
Vismia glaziovii,Vismia gracilis,1
Wendlandia exserta,Wendlandia heynei,1
Yucca whipplei,Hesperoyucca whipplei,1
Ziziphus jujube,Ziziphus jujuba,1
Ziziphus mauretania,Ziziphus mauritiana,1
Zygophyllum album,Tetraena alba,1
Zygophyllum rosovii,Zygophyllum rosowii,1
Zygophyllum stapffii,Tetraena stapfii,1
Abies alba,Abies alba,0
Abies balsamea,Abies balsamea,0
Abies firma,Abies firma,0
Abies homolepis,Abies homolepis,0
Abies mariesii,Abies mariesii,0
Abies sachalinensis,Abies sachalinensis,0
Abies veitchii,Abies veitchii,0
Acacia amythethophylla,Acacia amythethophylla,0
Acacia auriculiformis,Acacia auriculiformis,0
Acacia barbinervis,Acacia barbinervis,0
Acacia bussei,Acacia bussei,0
Acacia catechu,Acacia catechu,0
Acacia edgeworthii,Acacia edgeworthii,0
Acacia eriocarpa,Acacia eriocarpa,0
Acacia erioloba,Acacia erioloba,0
Acacia fleckii,Acacia fleckii,0
Acacia gerrardii,Acacia gerrardii,0
Acacia goetzei,Acacia goetzei,0
Acacia hockii,Acacia hockii,0
Acacia huegelii,Acacia huegelii,0
Acacia luederitzii,Acacia luederitzii,0
Acacia mangium,Acacia mangium,0
Acacia mearnsii,Acacia mearnsii,0
Acacia mellifera,Acacia mellifera,0
Acacia nigrescens,Acacia nigrescens,0
Acacia nilotica,Acacia nilotica,0
Acacia polyacantha,Acacia polyacantha,0
Acacia pulchella,Acacia pulchella,0
Acacia reficiens,Acacia reficiens,0
Acacia robusta,Acacia robusta,0
Acacia senegal,Acacia senegal,0
Acacia seyal,Acacia seyal,0
Acacia sieberiana,Acacia sieberiana,0
Acacia tortilis,Acacia tortilis,0
Acamptopappus shockleyi,Acamptopappus shockleyi,0
Acamptopappus sphaerocephalus,Acamptopappus sphaerocephalus,0
Acantholimon alatavicum,Acantholimon alatavicum,0
Acer campestre,Acer campestre,0
Acer negundo,Acer negundo,0
Acer platanoides,Acer platanoides,0
Acer pseudoplatanus,Acer pseudoplatanus,0
Acer rubrum,Acer rubrum,0
Acer saccharinum,Acer saccharinum,0
Acer saccharum,Acer saccharum,0
Adansonia digitata,Adansonia digitata,0
Adenanthos cygnorum,Adenanthos cygnorum,0
Adenanthos terminalis,Adenanthos terminalis,0
Adenostoma fasciculatum,Adenostoma fasciculatum,0
Adenostoma sparsifolium,Adenostoma sparsifolium,0
Adesmia boronioides,Adesmia boronioides,0
Aerva javanica,Aerva javanica,0
Aesculus glabra,Aesculus glabra,0
Aesculus hippocastanum,Aesculus hippocastanum,0
Ajania fruticulosa,Ajania fruticulosa,0
Albizia amara,Albizia amara,0
Albizia lebbeck,Albizia lebbeck,0
Albizia versicolor,Albizia versicolor,0
Alchornea trewioides,Alchornea trewioides,0
Allenrolfea occidentalis,Allenrolfea occidentalis,0
Allocasuarina humilis,Allocasuarina humilis,0
Allocasuarina muelleriana,Allocasuarina muelleriana,0
Allocasuarina pusilla,Allocasuarina pusilla,0
Alnus glutinosa,Alnus glutinosa,0
Alnus incana,Alnus incana,0
Ambrosia deltoidea,Ambrosia deltoidea,0
Ambrosia dumosa,Ambrosia dumosa,0
Amelanchier ovalis,Amelanchier ovalis,0
Amelanchier sanguinea,Amelanchier sanguinea,0
Amelanchier utahensis,Amelanchier utahensis,0
Ammodendron conollyi,Ammodendron conollyi,0
Ammopiptanthus mongolicus,Ammopiptanthus mongolicus,0
Amorpha canescens,Amorpha canescens,0
Amygdalus mongolica,Amygdalus mongolica,0
Anabasis aphylla,Anabasis aphylla,0
Anabasis articulata,Anabasis articulata,0
Anabasis brevifolia,Anabasis brevifolia,0
Anabasis salsa,Anabasis salsa,0
Anabasis setifera,Anabasis setifera,0
Anabasis syriaca,Anabasis syriaca,0
Anacardium excelsum,Anacardium excelsum,0
Andersonia heterophylla,Andersonia heterophylla,0
Andira humilis,Andira humilis,0
Andromeda polifolia,Andromeda polifolia,0
Anisophyllea disticha,Anisophyllea disticha,0
Annona dioica,Annona dioica,0
Annona squamosa,Annona squamosa,0
Anthyllis cytisoides,Anthyllis cytisoides,0
Anthyllis henoniana,Anthyllis henoniana,0
Antiaris toxicaria,Antiaris toxicaria,0
Aotus ericoides,Aotus ericoides,0
Apodytes dimidiata,Apodytes dimidiata,0
Araucaria araucana,Araucaria araucana,0
Araucaria cunninghamii,Araucaria cunninghamii,0
Arbutus unedo,Arbutus unedo,0
Arctostaphylos glandulosa,Arctostaphylos glandulosa,0
Arctostaphylos glauca,Arctostaphylos glauca,0
Arctostaphylos glutinosa,Arctostaphylos glutinosa,0
Arctostaphylos pallida,Arctostaphylos pallida,0
Arctostaphylos patula,Arctostaphylos patula,0
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,0
Argyrolobium uniflorum,Argyrolobium uniflorum,0
Artemisia abrotanum,Artemisia abrotanum,0
Artemisia arenaria,Artemisia arenaria,0
Artemisia badhysi,Artemisia badhysi,0
Artemisia campestris,Artemisia campestris,0
Artemisia cana,Artemisia cana,0
Artemisia filifolia,Artemisia filifolia,0
Artemisia frigida,Artemisia frigida,0
Artemisia gracilescens,Artemisia gracilescens,0
Artemisia halophila,Artemisia halophila,0
Artemisia herba-alba,Artemisia herba-alba,0
Artemisia kemrudica,Artemisia kemrudica,0
Artemisia lerchiana,Artemisia lerchiana,0
Artemisia monosperma,Artemisia monosperma,0
Artemisia pauciflora,Artemisia pauciflora,0
Artemisia rhodantha,Artemisia rhodantha,0
Artemisia santolinifolia,Artemisia santolinifolia,0
Artemisia santonica,Artemisia santonica,0
Artemisia scoparia,Artemisia scoparia,0
Artemisia semiarida,Artemisia semiarida,0
Artemisia sogdiana,Artemisia sogdiana,0
Artemisia songarica,Artemisia songarica,0
Artemisia sphaerocephala,Artemisia sphaerocephala,0
Artemisia taurica,Artemisia taurica,0
Artemisia terrae-albae,Artemisia terrae-albae,0
Artemisia tianschanica,Artemisia tianschanica,0
Artemisia tridentata,Artemisia tridentata,0
Artemisia turanica,Artemisia turanica,0
Arthraerua leubnitziae,Arthraerua leubnitziae,0
Arthrophytum iliense,Arthrophytum iliense,0
Arthrophytum longibracteatum,Arthrophytum longibracteatum,0
Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco,0
Astartea fascicularis,Astartea fascicularis,0
Asterothamnus centrali-asiaticus,Asterothamnus centrali-asiaticus,0
Astragalus longipetiolatus,Astragalus longipetiolatus,0
Astragalus paucijugus,Astragalus paucijugus,0
Astragalus unifoliolatus,Astragalus unifoliolatus,0
Astroloma conostephioides,Astroloma conostephioides,0
Astroloma xerophyllum,Astroloma xerophyllum,0
Atractylis serratuloides,Atractylis serratuloides,0
Atriplex cana,Atriplex cana,0
Atriplex canescens,Atriplex canescens,0
Atriplex confertifolia,Atriplex confertifolia,0
Atriplex glauca,Atriplex glauca,0
Atriplex halimus,Atriplex halimus,0
Atriplex lampa,Atriplex lampa,0
Atriplex nummularia,Atriplex nummularia,0
Atriplex nuttallii,Atriplex nuttallii,0
Attalea exigua,Attalea exigua,0
Azadirachta indica,Azadirachta indica,0
Azanza garckeana,Azanza garckeana,0
Baccaurea ramiflora,Baccaurea ramiflora,0
Baccharis pilularis,Baccharis pilularis,0
Baikiaea plurijuga,Baikiaea plurijuga,0
Balanites aegyptiaca,Balanites aegyptiaca,0
Banksia attenuata,Banksia attenuata,0
Banksia ilicifolia,Banksia ilicifolia,0
Banksia marginata,Banksia marginata,0
Banksia ornata,Banksia ornata,0
Banksia prionotes,Banksia prionotes,0
Baphia massaiensis,Baphia massaiensis,0
Bassia arabica,Bassia arabica,0
Bauhinia petersiana,Bauhinia petersiana,0
Bauhinia purpurea,Bauhinia purpurea,0
Bauhinia variegata,Bauhinia variegata,0
Berberis nervosa,Berberis nervosa,0
Berberis repens,Berberis repens,0
Berberis vulgaris,Berberis vulgaris,0
Betula humilis,Betula humilis,0
Betula nana,Betula nana,0
Betula papyrifera,Betula papyrifera,0
Betula pendula,Betula pendula,0
Betula pubescens,Betula pubescens,0
Betula utilis,Betula utilis,0
Blepharispermum fruticosum,Blepharispermum fruticosum,0
Bombax ceiba,Bombax ceiba,0
Bombax costatum,Bombax costatum,0
Borassus aethiopum,Borassus aethiopum,0
Boronia coerulescens,Boronia coerulescens,0
Boscia albitrunca,Boscia albitrunca,0
Bossiaea eriocarpa,Bossiaea eriocarpa,0
Bowdichia virgilioides,Bowdichia virgilioides,0
Brachanthemum gobicum,Brachanthemum gobicum,0
Brachyclados caespitosus,Brachyclados caespitosus,0
Brachystegia boehmii,Brachystegia boehmii,0
Brachystegia floribunda,Brachystegia floribunda,0
Brachystegia longifolia,Brachystegia longifolia,0
Brachystegia spiciformis,Brachystegia spiciformis,0
Brachystegia utilis,Brachystegia utilis,0
Brickellia eupatorioides,Brickellia eupatorioides,0
Bridelia ferruginea,Bridelia ferruginea,0
Brosimum alicastrum,Brosimum alicastrum,0
Brosimum rubescens,Brosimum rubescens,0
Burkea africana,Burkea africana,0
Bursera excelsa,Bursera excelsa,0
Bursera simaruba,Bursera simaruba,0
Byrsonima crassifolia,Byrsonima crassifolia,0
Byrsonima cydoniifolia,Byrsonima cydoniifolia,0
Caesalpinia pyramidalis,Caesalpinia pyramidalis,0
Calligonum aphyllum,Calligonum aphyllum,0
Calligonum caput-medusae,Calligonum caput-medusae,0
Calligonum comosum,Calligonum comosum,0
Calligonum eriopodum,Calligonum eriopodum,0
Calligonum polygonoides,Calligonum polygonoides,0
Calligonum rubens,Calligonum rubens,0
Calligonum setosum,Calligonum setosum,0
Calluna vulgaris,Calluna vulgaris,0
Calotropis procera,Calotropis procera,0
Calytrix alpestris,Calytrix alpestris,0
Calytrix flavescens,Calytrix flavescens,0
Calytrix fraseri,Calytrix fraseri,0
Calytrix sapphirina,Calytrix sapphirina,0
Capparis decidua,Capparis decidua,0
Caragana arborescens,Caragana arborescens,0
Caragana balchaschensis,Caragana balchaschensis,0
Caragana brachypoda,Caragana brachypoda,0
Caragana leucophloea,Caragana leucophloea,0
Caragana tragacanthoides,Caragana tragacanthoides,0
Carapa procera,Carapa procera,0
Cariniana pyriformis,Cariniana pyriformis,0
Carpinus betulus,Carpinus betulus,0
Carya cordiformis,Carya cordiformis,0
Carya floridana,Carya floridana,0
Carya ovata,Carya ovata,0
Caryocar brasiliense,Caryocar brasiliense,0
Casearia sylvestris,Casearia sylvestris,0
Castanea sativa,Castanea sativa,0
Castanopsis chinensis,Castanopsis chinensis,0
Catalpa speciosa,Catalpa speciosa,0
Ceanothus crassifolius,Ceanothus crassifolius,0
Ceanothus greggii,Ceanothus greggii,0
Ceanothus herbaceus,Ceanothus herbaceus,0
Ceanothus leucodermis,Ceanothus leucodermis,0
Ceanothus megacarpus,Ceanothus megacarpus,0
Ceanothus oliganthus,Ceanothus oliganthus,0
Ceanothus spinosus,Ceanothus spinosus,0
Cecropia distachya,Cecropia distachya,0
Cecropia ficifolia,Cecropia ficifolia,0
Cecropia pachystachya,Cecropia pachystachya,0
Cecropia sciadophylla,Cecropia sciadophylla,0
Cedrus deodara,Cedrus deodara,0
Celtis laevigata,Celtis laevigata,0
Celtis mildbraedii,Celtis mildbraedii,0
Celtis occidentalis,Celtis occidentalis,0
Celtis pallida,Celtis pallida,0
Cercis canadensis,Cercis canadensis,0
Cercocarpus montanus,Cercocarpus montanus,0
Chaetopappa ericoides,Chaetopappa ericoides,0
Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,0
Chamaecyparis obtusa,Chamaecyparis obtusa,0
Chamaecyparis pisifera,Chamaecyparis pisifera,0
Chamaespartium tridentatum,Chamaespartium tridentatum,0
Christolea crassifolia,Christolea crassifolia,0
Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,0
Chuquiraga avellanedae,Chuquiraga avellanedae,0
Cistus crispus,Cistus crispus,0
Citrullus colocynthis,Citrullus colocynthis,0
Citrus medica,Citrus medica,0
Clathrotropis macrocarpa,Clathrotropis macrocarpa,0
Clethra revoluta,Clethra revoluta,0
Cliffortia ruscifolia,Cliffortia ruscifolia,0
Clusia fockeana,Clusia fockeana,0
Coleogyne ramosissima,Coleogyne ramosissima,0
Colliguaja odorifera,Colliguaja odorifera,0
Colophospermum mopane,Colophospermum mopane,0
Combretum adenogonium,Combretum adenogonium,0
Combretum apiculatum,Combretum apiculatum,0
Combretum celastroides,Combretum celastroides,0
Combretum collinum,Combretum collinum,0
Combretum elaeagnoides,Combretum elaeagnoides,0
Combretum hereroense,Combretum hereroense,0
Combretum imberbe,Combretum imberbe,0
Combretum zeyheri,Combretum zeyheri,0
Commiphora africana,Commiphora africana,0
Commiphora ancistrophora,Commiphora ancistrophora,0
Commiphora erythraea,Commiphora erythraea,0
Commiphora glandulosa,Commiphora glandulosa,0
Commiphora mollis,Commiphora mollis,0
Commiphora mossambicensis,Commiphora mossambicensis,0
Commiphora saxicola,Commiphora saxicola,0
Commiphora tenuipetiolata,Commiphora tenuipetiolata,0
Commiphora ugogensis,Commiphora ugogensis,0
Comptonia peregrina,Comptonia peregrina,0
Condalia microphylla,Condalia microphylla,0
Condalia spathulata,Condalia spathulata,0
Conospermum incurvum,Conospermum incurvum,0
Conostephium minus,Conostephium minus,0
Conostephium pendulum,Conostephium pendulum,0
Convolvulus fruticosus,Convolvulus fruticosus,0
Convolvulus lanatus,Convolvulus lanatus,0
Convolvulus prostratus,Convolvulus prostratus,0
Convolvulus tragacanthoides,Convolvulus tragacanthoides,0
Cordia dodecandra,Cordia dodecandra,0
Cornulaca monacantha,Cornulaca monacantha,0
Cornus alternifolia,Cornus alternifolia,0
Cornus sanguinea,Cornus sanguinea,0
Coronilla vaginalis,Coronilla vaginalis,0
Corylus americana,Corylus americana,0
Corylus avellana,Corylus avellana,0
Covillea tridentata,Covillea tridentata,0
Crataegus mollis,Crataegus mollis,0
Crataegus monogyna,Crataegus monogyna,0
Crossopteryx febrifuga,Crossopteryx febrifuga,0
Crotalaria burhia,Crotalaria burhia,0
Cryptandra tomentosa,Cryptandra tomentosa,0
Cryptocarya alba,Cryptocarya alba,0
Cryptomeria japonica,Cryptomeria japonica,0
Cunninghamia lanceolata,Cunninghamia lanceolata,0
Cupressus lusitanica,Cupressus lusitanica,0
Cupressus macrocarpa,Cupressus macrocarpa,0
Curatella americana,Curatella americana,0
Cycas revoluta,Cycas revoluta,0
Cytisus multiflorus,Cytisus multiflorus,0
Cytisus striatus,Cytisus striatus,0
Dalbergia sissoo,Dalbergia sissoo,0
Dalea candida,Dalea candida,0
Dalea purpurea,Dalea purpurea,0
Dalea villosa,Dalea villosa,0
Daphne gnidium,Daphne gnidium,0
Daphne mezereum,Daphne mezereum,0
Daphne striata,Daphne striata,0
Daviesia brevifolia,Daviesia brevifolia,0
Daviesia gracilis,Daviesia gracilis,0
Davilla kunthii,Davilla kunthii,0
Dendrostellera ammodendron,Dendrostellera ammodendron,0
Deverra tortuosa,Deverra tortuosa,0
Dichrostachys cinerea,Dichrostachys cinerea,0
Dicorynia guianensis,Dicorynia guianensis,0
Dillwynia hispida,Dillwynia hispida,0
Dimorphandra conjugata,Dimorphandra conjugata,0
Diospyros hispida,Diospyros hispida,0
Diospyros lycioides,Diospyros lycioides,0
Diplacus longiflorus,Diplacus longiflorus,0
Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,0
Dipterocarpus costatus,Dipterocarpus costatus,0
Dipteryx alata,Dipteryx alata,0
Dombeya rotundifolia,Dombeya rotundifolia,0
Dryas octopetala,Dryas octopetala,0
Echiochilon fruticosum,Echiochilon fruticosum,0
Elaeagnus angustifolia,Elaeagnus angustifolia,0
Elaeis guineensis,Elaeis guineensis,0
Empetrum nigrum,Empetrum nigrum,0
Encelia farinosa,Encelia farinosa,0
Endospermum diadenum,Endospermum diadenum,0
Entada wahlbergii,Entada wahlbergii,0
Entandrophragma caudatum,Entandrophragma caudatum,0
Entandrophragma cylindricum,Entandrophragma cylindricum,0
Enterolobium cyclocarpum,Enterolobium cyclocarpum,0
Eperua falcata,Eperua falcata,0
Ephedra alata,Ephedra alata,0
Ephedra distachya,Ephedra distachya,0
Ephedra nevadensis,Ephedra nevadensis,0
Ephedra strobilacea,Ephedra strobilacea,0
Ephedra torreyana,Ephedra torreyana,0
Ephedra trifurca,Ephedra trifurca,0
Eremaea beaufortioides,Eremaea beaufortioides,0
Eremaea pauciflora,Eremaea pauciflora,0
Eremosparton aphyllum,Eremosparton aphyllum,0
Erica arborea,Erica arborea,0
Erica australis,Erica australis,0
Erica lusitanica,Erica lusitanica,0
Erica plukenetii,Erica plukenetii,0
Erica scoparia,Erica scoparia,0
Erica umbellata,Erica umbellata,0
Ericameria cooperi,Ericameria cooperi,0
Ericameria nauseosa,Ericameria nauseosa,0
Ericameria teretifolia,Ericameria teretifolia,0
Eriobotrya japonica,Eriobotrya japonica,0
Eriogonum effusum,Eriogonum effusum,0
Eriogonum fasciculatum,Eriogonum fasciculatum,0
Eriogonum heracleoides,Eriogonum heracleoides,0
Eriogonum jamesii,Eriogonum jamesii,0
Eriogonum microthecum,Eriogonum microthecum,0
Eriogonum niveum,Eriogonum niveum,0
Eriosema crinitum,Eriosema crinitum,0
Eriosema violaceum,Eriosema violaceum,0
Eriostemon spicatus,Eriostemon spicatus,0
Erythrina melanacantha,Erythrina melanacantha,0
Erythrophleum africanum,Erythrophleum africanum,0
Erythrophleum chlorostachys,Erythrophleum chlorostachys,0
Eucalyptus alba,Eucalyptus alba,0
Eucalyptus astringens,Eucalyptus astringens,0
Eucalyptus camaldulensis,Eucalyptus camaldulensis,0
Eucalyptus diversicolor,Eucalyptus diversicolor,0
Eucalyptus globulus,Eucalyptus globulus,0
Eucalyptus gomphocephala,Eucalyptus gomphocephala,0
Eucalyptus grandis,Eucalyptus grandis,0
Eucalyptus horistes,Eucalyptus horistes,0
Eucalyptus kochii,Eucalyptus kochii,0
Eucalyptus loxophleba,Eucalyptus loxophleba,0
Eucalyptus marginata,Eucalyptus marginata,0
Eucalyptus pileata,Eucalyptus pileata,0
Eucalyptus polybractea,Eucalyptus polybractea,0
Eucalyptus populnea,Eucalyptus populnea,0
Eucalyptus regnans,Eucalyptus regnans,0
Eucalyptus saligna,Eucalyptus saligna,0
Eucalyptus sideroxylon,Eucalyptus sideroxylon,0
Eucalyptus tereticornis,Eucalyptus tereticornis,0
Eucalyptus tetrodonta,Eucalyptus tetrodonta,0
Eucalyptus umbra,Eucalyptus umbra,0
Eucalyptus viminalis,Eucalyptus viminalis,0
Euchilopsis linearis,Euchilopsis linearis,0
Eugenia punicifolia,Eugenia punicifolia,0
Euphorbia burmanni,Euphorbia burmanni,0
Euterpe oleracea,Euterpe oleracea,0
Euterpe precatoria,Euterpe precatoria,0
Evolvulus nuttallianus,Evolvulus nuttallianus,0
Fagonia arabica,Fagonia arabica,0
Fagonia cretica,Fagonia cretica,0
Fagonia mollis,Fagonia mollis,0
Fagraea racemosa,Fagraea racemosa,0
Fagus crenata,Fagus crenata,0
Fagus grandifolia,Fagus grandifolia,0
Fagus sylvatica,Fagus sylvatica,0
Faidherbia albida,Faidherbia albida,0
Fallugia paradoxa,Fallugia paradoxa,0
Faramea occidentalis,Faramea occidentalis,0
Farsetia aegyptia,Farsetia aegyptia,0
Faurea saligna,Faurea saligna,0
Ficus benghalensis,Ficus benghalensis,0
Ficus cotinifolia,Ficus cotinifolia,0
Ficus pertusa,Ficus pertusa,0
Ficus religiosa,Ficus religiosa,0
Ficus sycomorus,Ficus sycomorus,0
Flourensia cernua,Flourensia cernua,0
Flueggea virosa,Flueggea virosa,0
Fouquieria splendens,Fouquieria splendens,0
Frangula alnus,Frangula alnus,0
Frankenia hirsuta,Frankenia hirsuta,0
Fraxinus americana,Fraxinus americana,0
Fraxinus angustifolia,Fraxinus angustifolia,0
Fraxinus anomala,Fraxinus anomala,0
Fraxinus excelsior,Fraxinus excelsior,0
Fraxinus ornus,Fraxinus ornus,0
